Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.455,118.499,0.0,0.228,0.836,0.142,0.106,-12.343,0.0364,2
0.512,85.82,0.0,0.184,0.866,0.37,0.284,-8.812,0.0587,2
0.784,105.034,0.000196,0.278,0.918,0.741,0.112,-10.745,0.041,2
0.702,82.008,0.0,0.508,0.144,0.143,0.108,-7.105,0.035,2
0.629,74.953,2.96e-05,0.327,0.761,0.381,0.103,-8.285,0.029,2
0.376,77.599,0.0,0.43,0.0902,0.129,0.0912,-6.585,0.0328,2
0.317,139.014,0.0,0.545,0.039,0.14,0.116,-6.439,0.0469,2
0.417,174.004,0.172,0.362,0.974,0.12,0.631,-11.109,0.0409,2
0.584,90.051,0.0,0.42,0.236,0.283,0.119,-7.827,0.0322,2
0.543,142.851,2.6e-05,0.483,0.285,0.183,0.155,-8.222,0.0697,2
0.636,151.148,0.0,0.661,0.527,0.694,0.18,-5.217,0.05,2
0.501,109.891,0.0,0.405,0.751,0.446,0.105,-5.679,0.0319,2
0.698,152.117,0.0167,0.346,0.622,0.492,0.104,-7.939,0.0475,2
0.567,110.011,1.46e-06,0.267,0.839,0.0592,0.089,-6.502,0.0299,2
0.602,73.877,0.0,0.377,0.731,0.518,0.0808,-6.213,0.0446,2
0.487,85.985,0.0,0.5,0.212,0.31,0.117,-6.87,0.0277,2
0.708,142.925,0.000138,0.489,0.665,0.771,0.302,-7.608,0.0366,2
0.445,171.715,0.0,0.415,0.413,0.389,0.0978,-8.406,0.0382,2
0.218,76.74,0.0847,0.215,0.967,0.138,0.0948,-12.49,0.0368,2
0.708,98.892,9.24e-05,0.322,0.747,0.46,0.137,-12.46,0.0371,2
0.926,128.003,7.78e-05,0.418,0.37,0.335,0.158,-8.154,0.0471,2
0.706,83.998,0.000334,0.545,0.426,0.455,0.0867,-8.191,0.0561,2
0.772,118.902,0.00612,0.256,0.491,0.357,0.144,-8.545,0.0481,2
0.557,129.98,0.0,0.387,0.876,0.317,0.111,-6.338,0.0374,2
0.688,106.958,0.0,0.53,0.443,0.162,0.0995,-5.507,0.0333,2
0.418,73.538,0.0211,0.124,0.79,0.0412,0.102,-16.399,0.0559,2
0.402,144.293,0.0,0.151,0.907,0.483,0.0941,-14.227,0.0395,2
0.764,91.019,0.0,0.32,0.837,0.575,0.0822,-7.209,0.0546,2
0.562,139.933,1.16e-06,0.219,0.372,0.156,0.0921,-8.089,0.0328,2
0.319,79.764,0.00384,0.0561,0.935,0.082,0.388,-23.023,0.045,2
0.499,111.956,0.00123,0.181,0.745,0.0747,0.106,-15.359,0.0429,2
0.505,101.993,0.0,0.34,0.576,0.0916,0.21,-9.005,0.0438,2
0.347,82.882,0.00287,0.209,0.893,0.0735,0.138,-11.152,0.0273,2
0.732,95.971,0.0,0.463,0.374,0.397,0.194,-6.972,0.0287,2
0.551,98.348,0.0,0.0754,0.957,0.239,0.154,-14.203,0.059,2
0.515,88.964,0.00598,0.479,0.544,0.284,0.191,-7.458,0.0261,2
0.669,64.934,0.0,0.308,0.883,0.52,0.0984,-10.068,0.029,2
0.539,136.846,1.46e-05,0.601,0.467,0.0982,0.122,-7.119,0.0378,2
0.533,143.263,0.0,0.437,0.885,0.48,0.106,-7.659,0.162,2
0.535,130.133,0.00338,0.245,0.743,0.238,0.298,-12.53,0.0363,2
0.591,185.652,0.000246,0.237,0.801,0.212,0.0928,-9.06,0.042,2
0.789,110.527,3.92e-05,0.212,0.853,0.25,0.107,-11.85,0.0488,2
0.567,84.112,1.22e-06,0.357,0.754,0.372,0.13,-8.201,0.032,2
0.443,77.342,0.0,0.533,0.371,0.201,0.128,-6.549,0.0396,2
0.634,77.77,0.0,0.153,0.952,0.318,0.134,-14.409,0.0622,2
0.57,74.716,0.0,0.638,0.571,0.489,0.0906,-8.852,0.303,2
0.663,78.033,1.7e-06,0.387,0.482,0.286,0.137,-10.385,0.0629,2
0.503,174.062,0.0,0.446,0.904,0.476,0.303,-6.279,0.0547,2
0.356,107.057,0.0,0.205,0.756,0.177,0.0916,-7.617,0.0304,2
0.569,146.846,0.0,0.457,0.617,0.306,0.356,-7.708,0.441,2
0.455,134.093,0.0,0.386,0.623,0.418,0.102,-10.883,0.0675,2
0.375,147.989,0.303,0.304,0.943,0.147,0.126,-14.52,0.0302,2
0.652,150.073,0.0,0.557,0.74,0.483,0.124,-5.714,0.0318,2
0.527,117.319,0.0,0.538,0.468,0.389,0.0825,-7.434,0.104,2
0.492,164.839,1.84e-06,0.144,0.965,0.274,0.161,-10.125,0.0708,2
0.66,81.997,0.0,0.395,0.873,0.678,0.112,-5.242,0.0333,2
0.63,80.512,0.0,0.63,0.0131,0.163,0.142,-6.211,0.0395,2
0.804,120.0,0.0,0.479,0.494,0.462,0.0994,-6.661,0.0321,2
0.572,109.923,0.000137,0.155,0.835,0.0949,0.0906,-14.405,0.0344,2
0.587,75.67,0.0,0.229,0.92,0.379,0.1,-11.254,0.128,2
0.52,141.894,0.00187,0.538,0.367,0.177,0.119,-8.109,0.206,2
0.685,90.011,3.97e-05,0.464,0.138,0.0559,0.111,-9.931,0.0579,2
0.58,108.048,0.000139,0.662,0.124,0.403,0.138,-6.208,0.0594,2
0.645,84.999,0.266,0.568,0.543,0.391,0.257,-9.127,0.0823,2
0.625,77.01,6.88e-06,0.239,0.846,0.246,0.13,-14.651,0.0309,2
0.613,104.966,0.0,0.739,0.526,0.712,0.149,-6.478,0.0311,2
0.671,149.87,2.16e-05,0.763,0.607,0.469,0.495,-5.877,0.305,2
0.385,122.177,0.0445,0.371,0.941,0.0796,0.108,-13.365,0.0504,2
0.437,147.911,0.0599,0.229,0.221,0.0754,0.0935,-10.514,0.0308,2
0.526,147.894,0.0,0.446,0.368,0.522,0.0728,-7.535,0.194,2
0.596,126.253,0.000299,0.243,0.978,0.374,0.0907,-11.759,0.0471,2
0.518,93.024,0.0,0.465,0.834,0.302,0.203,-5.903,0.0273,2
0.478,75.285,0.216,0.241,0.716,0.11,0.354,-17.122,0.0386,2
