,Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
9,0.764,125.041,0.0,0.707,0.121,0.708,0.294,-2.309,0.0708,0
10,0.597,129.942,1.16e-06,0.839,0.00105,0.412,0.617,-3.946,0.389,0
11,0.648,131.009,2.4e-06,0.81,0.0327,0.635,0.35,-3.74,0.065,0
12,0.568,128.077,0.0012,0.617,0.000749,0.447,0.689,-5.951,0.0679,0
13,0.784,125.01,1.02e-06,0.772,0.00511,0.749,0.342,-4.541,0.112,0
14,0.604,128.032,0.0,0.888,0.00868,0.635,0.117,-3.282,0.0454,0
15,0.758,128.016,0.0,0.704,0.064,0.541,0.404,-5.524,0.0514,0
16,0.789,128.029,0.000172,0.882,0.0465,0.76,0.346,-3.794,0.15,0
17,0.836,127.994,1.36e-06,0.643,0.000401,0.88,0.315,-8.089,0.214,0
18,0.683,128.134,6.05e-05,0.932,0.0527,0.647,0.443,-4.479,0.126,0
19,0.79,125.015,0.0,0.89,0.00017,0.926,0.0907,-5.543,0.0835,0
20,0.493,125.993,0.895,0.992,0.00428,0.27,0.256,-3.945,0.0531,0
21,0.625,119.982,1.05e-06,0.786,0.0343,0.537,0.202,-3.814,0.0465,0
22,0.619,127.983,0.000295,0.835,0.000186,0.907,0.299,-5.03,0.0284,0
23,0.721,128.069,0.0,0.933,0.0607,0.666,0.241,-3.622,0.193,0
24,0.716,110.026,3.22e-05,0.972,0.0145,0.576,0.317,-2.302,0.196,0
25,0.568,127.951,0.0,0.838,0.0279,0.664,0.145,-3.52,0.0553,0
26,0.718,120.015,5.3e-06,0.776,0.000624,0.622,0.207,-5.208,0.0693,0
27,0.624,127.019,0.0,0.889,0.101,0.45,0.227,-3.772,0.0504,0
28,0.726,127.993,2.84e-05,0.92,0.0177,0.764,0.375,-4.381,0.0419,0
29,0.689,130.01,0.00129,0.789,0.0342,0.895,0.104,-5.459,0.0342,0
30,0.702,130.003,1.73e-05,0.857,0.014,0.731,0.306,-6.031,0.0345,0
31,0.691,126.012,0.00177,0.869,0.002,0.351,0.34,-4.428,0.104,0
32,0.706,128.011,0.00286,0.89,0.0588,0.684,0.306,-4.444,0.0688,0
33,0.221,136.43,0.0,0.852,0.00176,0.175,0.0782,-3.784,0.0586,0
34,0.681,129.964,0.0,0.924,0.0433,0.746,0.123,-7.387,0.0621,0
35,0.662,127.997,0.302,0.68,0.000992,0.386,0.727,-8.185,0.04,0
36,0.523,139.997,0.557,0.944,0.00336,0.324,0.119,-3.581,0.0837,0
37,0.518,127.936,5.92e-06,0.875,0.0217,0.348,0.347,-6.162,0.0484,0
38,0.763,131.984,0.00132,0.548,0.000587,0.414,0.111,-4.385,0.0514,0
39,0.73,127.955,0.0,0.757,0.00742,0.925,0.269,-6.199,0.147,0
40,0.788,127.962,0.00342,0.898,0.0196,0.809,0.957,-5.492,0.0594,0
41,0.702,128.015,0.749,0.762,0.00598,0.724,0.0999,-7.868,0.0364,0
42,0.832,127.982,7.13e-06,0.769,0.0151,0.625,0.283,-6.321,0.0494,0
43,0.758,129.985,0.585,0.779,0.0126,0.535,0.341,-6.193,0.0514,0
44,0.762,127.89,0.000131,0.618,0.0333,0.819,0.0232,-5.032,0.219,0
45,0.631,128.024,3.49e-06,0.785,0.0325,0.58,0.0681,-4.476,0.122,0
46,0.535,126.916,0.0,0.824,0.00395,0.464,0.925,-2.232,0.0605,0
47,0.853,127.029,0.553,0.964,0.00145,0.815,0.0444,-0.933,0.0411,0
48,0.784,135.0,0.608,0.961,0.00086,0.739,0.0807,-4.559,0.0701,0
49,0.73,125.001,4.98e-05,0.937,0.00466,0.669,0.573,-5.303,0.0675,0
50,0.369,127.992,0.841,0.982,0.00344,0.311,0.277,-6.129,0.0696,0
51,0.733,125.064,0.0049,0.673,0.0132,0.636,0.16,-6.572,0.0333,0
52,0.711,126.987,0.0198,0.894,0.0242,0.5,0.219,-2.723,0.0408,0
53,0.787,132.031,0.324,0.703,0.0424,0.888,0.178,-8.398,0.0462,0
54,0.621,127.979,0.49,0.872,0.00772,0.196,0.0302,-5.188,0.058,0
55,0.772,129.993,0.000206,0.624,0.0286,0.516,0.151,-8.708,0.0531,0
56,0.541,127.916,0.671,0.863,0.00441,0.398,0.778,-4.647,0.196,0
57,0.727,127.963,0.00284,0.748,0.271,0.229,0.062,-3.481,0.0672,0
58,0.594,127.961,0.000957,0.947,0.00103,0.05,0.0618,-5.348,0.0397,0
59,0.577,127.985,0.871,0.952,0.00545,0.56,0.196,-4.939,0.0362,0
60,0.451,126.13,0.0,0.712,0.379,0.168,0.0702,-3.583,0.0494,0
61,0.699,127.969,0.762,0.525,0.000579,0.125,0.161,-6.705,0.0622,0
62,0.511,125.962,0.0,0.811,0.105,0.558,0.0857,-2.526,0.0425,0
63,0.863,128.016,0.451,0.851,0.0128,0.56,0.0736,-0.931,0.164,0
64,0.662,126.998,0.769,0.719,0.00059,0.146,0.0817,-4.653,0.0436,0
